인허가일자,상태코드,폐업일자,사업장명,구명,동명
20100824,2,20190827,호도원호두과자청주본점,상당구,용암동
20100902,2,20121204,빵나라,상당구,북문로2가
20101018,2,20110706,즉석팔봉빵집,흥덕구,가경동
20101021,2,20121203,브레드하임,서원구,분평동
20101111,2,20120116,초콜릿베이커리,서원구,산남동
20101111,2,20120705,OK(오케이)호두,흥덕구,가경동
20110127,2,20121129,파리바게뜨에버세이브점,서원구,미평동
20110223,2,20110808,삼형제빵집,청원구,율량동
20110225,2,20191114,오븐스토리,상당구,용담동
20110308,2,20171228,달콤한입,흥덕구,복대동
20140721,2,20140722,리얼케익(REAL CAKE),흥덕구,복대동
20140325,2,20191205,아뜰리에101,상당구,금천동
20140428,2,20171207,홈플러스익스프레스청주수곡점,서원구,수곡동
20140502,2,20170119,FLORIAN(플로리안),서원구,산남동
20140516,2,20140523,바누아투과자점,흥덕구,복대동
20050506,2,20061101,뚜쥬르,상당구,용담동
20050512,2,20111226,국보제과,서원구,사직동
20050516,2,20070116,신라명과,흥덕구,봉명동
20050715,2,20100326,던킨도넛츠(충북대점),서원구,사창동
20051011,2,20141128,던킨도너츠,상당구,남문로2가
20051012,2,20060503,옥토브로베이커리,상당구,북문로1가
20051012,2,20090611,케잌하우스리옹,상당구,용암동
20080520,2,20140520,파리바게트(청주용암점),상당구,용암동
20080623,2,20080708,카카오아일(가경점),흥덕구,가경동
20051020,2,20070112,팔래스도우넛,상당구,용암동
20051109,2,20060907,바른생활샌드위치,서원구,사창동
20051109,2,20110624,뚜레쥬르가경대우점,흥덕구,가경동
20051111,2,20130717,정항우케익,상당구,북문로1가
20051208,2,20090814,케익마루,청원구,사천동
20051221,2,20060131,빵파러,청원구,내덕동
20060106,2,20180817,떡보의하루,흥덕구,복대동
20060112,2,20081208,하나로베이커리,청원구,내수읍
20060123,2,20101223,프랑드리,상당구,용담동
20060224,2,20110719,뚜레쥬르청주봉명주공점,흥덕구,봉명동
20060317,2,20181011,이보아르베이커리,서원구,수곡동
20080725,2,20130329,봉스카페앤베이커리,흥덕구,복대동
20080826,2,20150106,해바라기제과점,흥덕구,봉명동
20080917,2,20110316,뚜레쥬르(분평주공점),서원구,분평동
20081006,2,20100503,카카오아일,서원구,사창동
20081015,2,20120405,슈에뜨베이커리,서원구,성화동
20081209,2,20121126,하나로 베이커리,상당구,용암동
20090113,2,20120521,오송베이커리,흥덕구,오송읍
20090130,2,20101231,천안전통호두과자,상당구,금천동
20090216,2,20100902,호두까기인형,상당구,북문로1가
20090306,2,20140113,천안전통호두과자,청원구,율량동
19881212,2,20110823,파리바게뜨사창점,서원구,사창동
19890801,2,20080227,에펠제과,흥덕구,복대동
19890925,2,20040129,주현베이커리,서원구,사창동
19900523,2,20120725,흥덕제과,흥덕구,운천동
19900614,2,20030501,작은빵궁전,서원구,사창동
19900622,2,20110304,카카오아일,청원구,내덕동
19900625,2,20200122,뚜레쥬르청주대점,청원구,우암동
19900629,2,20111212,신라방제과점,흥덕구,봉명동
19900704,2,20060406,공항제과,청원구,내덕동
19900817,2,20190805,대구제과,상당구,금천동
19900831,2,20030324,춘강다실,흥덕구,운천동
19901120,2,20040525,맛나당제과,흥덕구,비하동
19901205,2,20071218,빠띠사보아산남분점,서원구,수곡동
19910402,2,20060102,고려당율량분점,청원구,내덕동
19910612,2,20021011,명승다실,흥덕구,복대동
19910731,2,20181015,마들렌과자점,흥덕구,복대동
19911108,2,20080422,크리스탈제과,서원구,분평동
19920304,2,20130719,케잌하우스쉐마,상당구,금천동
19920306,2,20051102,빵궁전베이커리,흥덕구,봉명동
19920306,2,20050507,빵궁전베이커리,흥덕구,봉명동
19920427,2,20020315,미리내베이커리,서원구,개신동
20091026,2,20101103,천안옛골호두과자,흥덕구,휴암동
20091112,2,20131107,뚜레쥬르청주성안점,상당구,남문로2가
20091119,2,20101012,다모아,서원구,수곡동
20091123,2,20140723,카카오아일,서원구,수곡동
20091124,2,20100608,하모니베이커리,흥덕구,봉명동
20100129,2,20161108,울타리없는장군빵집,상당구,북문로2가
20100304,2,20110222,이정화의 행복한쿠키,흥덕구,봉명동
20100520,2,20130603,파티쉐베이커리,청원구,사천동
20100528,2,20120307,(주)조선호텔베이커리,서원구,미평동
20100603,2,20121227,GS25뉴청주모충점(제빵),서원구,모충동
20100604,2,20170425,따삐오,서원구,사창동
20100604,2,20110511,월드윈베이커리,흥덕구,오송읍
