인허가일자,상세영업상태코드,폐업일자,소재지전체주소,사업장명,업태구분명,구명,동명
20170608,1,,충청북도 청주시 청원구 우암동 337-4번지,빵×빵연구소,제과점영업,청원구,우암동
20170619,1,,충청북도 청주시 청원구 율량동 2179번지,율량제과,제과점영업,청원구,율량동
20170621,1,,"충청북도 청주시 청원구 오창읍 양청리 820 홈플러스오창점,지하1층",몽블랑제오창점,제과점영업,청원구,오창읍
20170621,1,,충청북도 청주시 흥덕구 비하동 811 롯데아울렛 청주점,바누아투 롯데아울렛점,제과점영업,흥덕구,비하동
20170621,1,,충청북도 청주시 흥덕구 강서동 462,언네임드(UNNAMED),제과점영업,흥덕구,강서동
20170622,1,,충청북도 청주시 흥덕구 가경동 1217번지 1층,뚜레쥬르 가경점,제과점영업,흥덕구,가경동
20020912,1,,충청북도 청주시 서원구 개신동 625 (1층),파리바게트 개신2호,제과점영업,서원구,개신동
20170807,1,,충청북도 청주시 흥덕구 복대동 3380번지,마듀현대백화점충청점,제과점영업,흥덕구,복대동
20171025,1,,"충청북도 청주시 서원구 성화동 965번지 , 1층",시월애(愛)케이크,제과점영업,서원구,성화동
20171030,1,,충청북도 청주시 흥덕구 오송읍 연제리 722번지 모아 미래도 프라자,식빵이 맛있는 집 네모(오송점),제과점영업,흥덕구,오송읍
20030317,1,,"충청북도 청주시 상당구 용암동 2627번지 (106호,107호)",파리바게뜨청주용암롯데점,제과점영업,상당구,용암동
20171114,1,,충청북도 청주시 청원구 율량동 2217번지,본정(율량점),제과점영업,청원구,율량동
20171215,1,,충청북도 청주시 청원구 율량동 741번지 1층,제제마카롱,제과점영업,청원구,율량동
20180226,1,,충청북도 청주시 흥덕구 복대동 288-115번지,브래드브로,제과점영업,흥덕구,복대동
20180501,1,,충청북도 청주시 서원구 산남동 1120번지 (1층) 101호,브레드홈(BREAD HOME),제과점영업,서원구,산남동
20180510,1,,충청북도 청주시 청원구 주성동 352,식빵이맛있는집네모율량점,제과점영업,청원구,주성동
20180514,1,,충청북도 청주시 흥덕구 봉명동 1125번지,꽃송아리,제과점영업,흥덕구,봉명동
20180529,1,,충청북도 청주시 서원구 모충동 231번지 서원대학교 비전관(지하1층),서원대학교 학교기업사업단 서원식품센터(몽뺑),제과점영업,서원구,모충동
20180619,1,,충청북도 청주시 상당구 대성동 5번지 상가동 105호,애플베리,제과점영업,상당구,대성동
20180703,1,,충청북도 청주시 상당구 북문로1가 89-2번지 1층,애플베리(Apple Berry),제과점영업,상당구,북문로1가
20180731,1,,충청북도 청주시 청원구 주중동 131-6번지,수제빵연구소,제과점영업,청원구,주중동
20030529,1,,"충청북도 청주시 상당구 금천동 312번지 장자마을 부영아파트 상가동 103,104호",파리바게뜨 금천부영점,제과점영업,상당구,금천동
20030712,1,,충청북도 청주시 흥덕구 운천동 550번지 홈훼밀리마트내(1층),파리베이커리,제과점영업,흥덕구,운천동
20010519,1,,충청북도 청주시 서원구 사직동 265-29번지 (1층),파리바게뜨 사직위브,제과점영업,서원구,사직동
20140808,1,,충청북도 청주시 흥덕구 비하동 350-3번지 1층,청주떡집 떡미당,제과점영업,흥덕구,비하동
20140826,1,,충청북도 청주시 청원구 내수읍 마산리 146-3번지 1층,1004베이커리,제과점영업,청원구,내수읍
20140901,1,,충청북도 청주시 청원구 오창읍 각리 649-9번지 1층,좋은아침오창점,제과점영업,청원구,오창읍
20141010,1,,충청북도 청주시 상당구 영동 105-4 1층,가토주니,제과점영업,상당구,영동
20141014,1,,충청북도 청주시 서원구 수곡동 777번지 한마음1차아파트 상가1동 202호,블링제이플라워케이크,제과점영업,서원구,수곡동
20151117,1,,충청북도 청주시 흥덕구 봉명동 1603-5번지 상가 1층 3호,로뎀베이커리,제과점영업,흥덕구,봉명동
20160120,1,,충청북도 청주시 서원구 사창동 149-3번지,본정 초콜릿 카페 본점,제과점영업,서원구,사창동
20160128,1,,충청북도 청주시 청원구 율량동 1299번지 외1필지 102호,파리바게뜨청주사천점,제과점영업,청원구,율량동
19990812,1,,"충청북도 청주시 서원구 분평동 1249번지 현대대우아파트(1층) 상가1동 101,102호",파리바게뜨분평점1,제과점영업,서원구,분평동
19990821,1,,충청북도 청주시 흥덕구 복대동 2471번지 1층,파리바게뜨,제과점영업,흥덕구,복대동
20000524,1,,"충청북도 청주시 서원구 분평동 1360-1번지 (101,102,103호)",파리바게뜨청주원평점,제과점영업,서원구,분평동
20000719,1,,충청북도 청주시 서원구 수곡동 909,청주산남 파리바게뜨,제과점영업,서원구,수곡동
20000814,1,,충청북도 청주시 흥덕구 가경동 1182,파리바게뜨,제과점영업,흥덕구,가경동
20001028,1,,충청북도 청주시 청원구 우암동 337-2번지,빵마을,제과점영업,청원구,우암동
20001219,1,,충청북도 청주시 흥덕구 봉명동 189-1번지,쁘띠 르뽀미에,제과점영업,흥덕구,봉명동
20120801,1,,충청북도 청주시 흥덕구 복대동 3380 현대백화점충청점(지하1층),본정케익초콜릿,제과점영업,흥덕구,복대동
20120802,1,,충청북도 청주시 흥덕구 복대동 3380번지 현대백화점충청점(지하1층),그래인스,제과점영업,흥덕구,복대동
20120802,1,,충청북도 청주시 흥덕구 복대동 3380번지 현대백화점충청점(지하1층),앤티앤스(프레즐),제과점영업,흥덕구,복대동
20120806,1,,충청북도 청주시 흥덕구 복대동 3380번지 현대백화점충청점(지하2층),(주)현대그린푸드 카페베즐리익스프레스,제과점영업,흥덕구,복대동
20120905,1,,충청북도 청주시 상당구 용암동 2086번지 효성아파트 상가동 1층 10호,선물같은오늘(용암점),제과점영업,상당구,용암동
20121008,1,,"충청북도 청주시 서원구 산남동 500번지 코코타워 1층 103호, 104호",좋은아침 산남점,제과점영업,서원구,산남동
20000217,1,,충청북도 청주시 서원구 분평동 1366-1번지 (1층),꾸쉬꾸떼과자점,제과점영업,서원구,분평동
20121018,1,,충청북도 청주시 흥덕구 복대동 2572번지 (1층),선물같은오늘,제과점영업,흥덕구,복대동
20121019,1,,"충청북도 청주시 서원구 수곡동 1001번지 세원청실아파트상가1동(1층) 101-4,101-5호",뚜레쥬르청주수곡사거리점,제과점영업,서원구,수곡동
